Data is to be used only for analysis purposes related to broadband mapping,,,,
For questions contact bbdata@microsoft.com,,,,
,,,,
Broadband availability in the United States based on the FCC,,,,
Fourteenth Broadband Deployment Report: https://www.fcc.gov/reports-research/reports/broadband-progress-reports/fourteenth-broadband-deployment-report,,,,
Form 477 data as of December 2019,,,,
,,,,
Broadband* usage in the United States based on Microsoft data,,,,
Data for October 2020,,,,
* Download speed benchmark of 25Mbps,,,,
,,,,
Field list,Notes,,,
AR,5069,Jefferson County,0.6604,0.192
AR,5071,Johnson County,0.6213,0.145
AR,5073,Lafayette County,0.1662,0.021
AR,5075,Lawrence County,0.5794,0.133
AR,5077,Lee County,0.3209,0.061
AR,5079,Lincoln County,0.3037,0.026
AR,5081,Little River County,0.5075,0.087
AR,5083,Logan County,0.3562,0.058
AR,5085,Lonoke County,0.8615,0.462
AR,5087,Madison County,0.4542,0.159
AR,5089,Marion County,0.6079,0.213
AR,5091,Miller County,0.9345,0.348
AR,5093,Mississippi County,0.9265,0.242
AR,5095,Monroe County,0.0557,0.058
AR,5097,Montgomery County,0.5286,0.093
AR,5099,Nevada County,0.4291,0.036
AR,5101,Newton County,0.1523,0.083
AR,5103,Ouachita County,0.6313,0.217
AR,5105,Perry County,0.7692,0.316
AR,5107,Phillips County,0.7458,0.188
AR,5109,Pike County,0.5312,0.11
AR,5111,Poinsett County,0.7911,0.168
AR,5113,Polk County,0.6295,0.125
AR,5115,Pope County,0.7953,0.484
AR,5117,Prairie County,0.1371,0.057
AR,5119,Pulaski County,0.9833,0.55
AR,5121,Randolph County,0.5715,0.141
AR,5123,St. Francis County,0.3788,0.11
AR,5125,Saline County,0.916,0.409
AR,5127,Scott County,0.3729,0.041
AR,5129,Searcy County,0.5523,0.076
AR,5131,Sebastian County,0.9589,0.517
AR,5133,Sevier County,0.7977,0.084
AR,5135,Sharp County,0.4534,0.214
AR,5137,Stone County,0.415,0.11
AR,5139,Union County,0.68,0.358
AR,5141,Van Buren County,0.4466,0.079
AR,5143,Washington County,0.9637,0.559
AR,5145,White County,0.7168,0.238
AR,5147,Woodruff County,0.2733,0.033
AR,5149,Yell County,0.8641,0.302
CA,6001,Alameda County,0.9993,0.731
CA,6003,Alpine County,0.1825,0.077
CA,6005,Amador County,0.9759,0.352
CA,6007,Butte County,0.9865,0.636
CA,6009,Calaveras County,0.9634,0.442
CA,6011,Colusa County,0.8357,0.119
CA,6013,Contra Costa County,0.9924,0.773
CA,6015,Del Norte County,0.9359,0.799
CA,6017,El Dorado County,0.9834,0.549
CA,6019,Fresno County,0.9964,0.522
CA,6021,Glenn County,0.9681,0.165
CA,6023,Humboldt County,0.9473,0.563
CA,6025,Imperial County,0.8569,0.644
CA,6027,Inyo County,0.8984,0.435
CA,6029,Kern County,0.9618,0.537
CA,6031,Kings County,0.9986,0.455
CA,6033,Lake County,0.934,0.351
CA,6035,Lassen County,0.9136,0.207
CA,6037,Los Angeles County,0.9955,0.734
CA,6039,Madera County,0.997,0.36
CA,6041,Marin County,0.9831,0.619
CA,6043,Mariposa County,0.8265,0.102
CA,6045,Mendocino County,0.8964,0.394
CA,6047,Merced County,0.9996,0.474
CA,6049,Modoc County,0.4529,0.089
CA,6051,Mono County,0.8383,0.658
CA,6053,Monterey County,0.9894,0.575
CA,6055,Napa County,0.9891,0.637
CA,6057,Nevada County,0.9671,0.419
CA,6059,Orange County,0.9862,0.854
CA,6061,Placer County,0.9864,0.718
CA,6063,Plumas County,0.9618,0.179
CA,6065,Riverside County,0.9751,0.793
CA,6067,Sacramento County,0.982,0.777
CA,6069,San Benito County,0.9882,0.643
CA,6071,San Bernardino County,0.9688,0.771
CA,6073,San Diego County,0.9807,0.761
CA,6075,San Francisco County,1,0.58
CA,6077,San Joaquin County,0.9992,0.648
CA,6079,San Luis Obispo County,0.9519,0.658
CA,6081,San Mateo County,1,0.772
CA,6083,Santa Barbara County,0.942,0.647
CA,6085,Santa Clara County,1,0.849
CA,6087,Santa Cruz County,1,0.615
CA,6089,Shasta County,0.9361,0.602
CA,6091,Sierra County,0.6599,0.077
CA,6093,Siskiyou County,0.8612,0.222
CA,6095,Solano County,0.9488,0.771
CA,6097,Sonoma County,0.9679,0.687
CA,6099,Stanislaus County,1,0.58
CA,6101,Sutter County,0.9932,0.755
CA,6103,Tehama County,0.9803,0.192
CA,6105,Trinity County,0.2484,0.168
CA,6107,Tulare County,0.9948,0.462
CA,6109,Tuolumne County,0.9936,0.443
CA,6111,Ventura County,0.9857,0.827
CA,6113,Yolo County,0.9406,0.665
CA,6115,Yuba County,0.9953,0.551
CO,8001,Adams County,0.9932,0.911
CO,8003,Alamosa County,0.9974,0.459
CO,8005,Arapahoe County,0.998,0.777
CO,8007,Archuleta County,0.878,0.688
CO,8009,Baca County,0.3432,0.271
CO,8011,Bent County,0.38,0.357
CO,8013,Boulder County,0.9754,0.803
CO,8014,Broomfield County,0.9837,0.976
CO,8015,Chaffee County,0.888,0.437
CO,8017,Cheyenne County,0.5483,0.139
CO,8019,Clear Creek County,0.901,0.191
CO,8021,Conejos County,0.9985,0.081
CO,8023,Costilla County,0.9552,0.325
CO,8025,Crowley County,0.425,0.103
CO,8027,Custer County,0.5152,0.039
CO,8029,Delta County,0.9949,0.559
CO,8031,Denver County,1,0.782
CO,8033,Dolores County,0.291,0.125
CO,8035,Douglas County,1,0.81
CO,8037,Eagle County,0.9305,0.671
CO,8039,Elbert County,1,0.275
CO,8041,El Paso County,0.981,0.833
CO,8043,Fremont County,0.8528,0.657
CO,8045,Garfield County,0.9971,0.51
CO,8047,Gilpin County,0.8768,0.436
CO,8049,Grand County,0.8474,0.482
CO,8051,Gunnison County,0.9058,0.522
CO,8053,Hinsdale County,0.8341,0.106
CO,8055,Huerfano County,0.7149,0.178
CO,8057,Jackson County,0.8556,0.102
CO,8059,Jefferson County,0.9955,0.67
CO,8061,Kiowa County,0.5512,0.04
CO,8063,Kit Carson County,0.9779,0.21
CO,8065,Lake County,0.9204,0.368
CO,8067,La Plata County,0.9798,0.409
CO,8069,Larimer County,0.9387,0.689
CO,8071,Las Animas County,0.7158,0.494
CO,8073,Lincoln County,0.552,0.326
CO,8075,Logan County,0.9275,0.528
CO,8077,Mesa County,0.9662,0.625
CO,8079,Mineral County,0.8921,0.551
CO,8081,Moffat County,0.9484,0.618
CO,8083,Montezuma County,0.8434,0.264
CO,8085,Montrose County,0.9456,0.691
CO,8087,Morgan County,0.8946,0.595
CO,8089,Otero County,0.8535,0.63
CO,8091,Ouray County,0.9653,0.205
CO,8093,Park County,0.9161,0.24
CO,8095,Phillips County,1,0.548
CO,8097,Pitkin County,0.979,0.766
CO,8099,Prowers County,0.7019,0.236
CO,8101,Pueblo County,0.9628,0.608
CO,8103,Rio Blanco County,0.7244,0.591
CO,8105,Rio Grande County,0.9886,0.29
CO,8107,Routt County,0.9596,0.495
CO,8109,Saguache County,0.8003,0.203
CO,8111,San Juan County,0.6552,0.288
CO,8113,San Miguel County,0.7115,0.522
CO,8115,Sedgwick County,0.8243,0.243
CO,8117,Summit County,0.8957,0.682
CO,8119,Teller County,0.8689,0.358
CO,8121,Washington County,0.8225,0.182
CO,8123,Weld County,0.9532,0.677
CO,8125,Yuma County,0.9866,0.313
CT,9001,Fairfield County,0.9932,0.707
CT,9003,Hartford County,0.9904,0.675
CT,9005,Litchfield County,0.9914,0.641
CT,9007,Middlesex County,0.994,0.631
CT,9009,New Haven County,0.9977,0.661
CT,9011,New London County,0.9881,0.71
CT,9013,Tolland County,0.9735,0.736
CT,9015,Windham County,0.9962,0.586
DE,10001,Kent County,0.9626,0.733
DE,10003,New Castle County,0.9796,0.788
DE,10005,Sussex County,0.9861,0.658
DC,11001,District of Columbia,0.9796,0.658
FL,12001,Alachua County,0.8639,0.574
FL,12003,Baker County,0.8448,0.391
FL,12005,Bay County,0.9393,0.694
FL,12007,Bradford County,0.5327,0.273
FL,12009,Brevard County,0.9951,0.776
FL,12011,Broward County,0.9815,0.802
FL,12013,Calhoun County,0.9407,0.104
FL,12015,Charlotte County,0.9728,0.679
FL,12017,Citrus County,0.9404,0.627
FL,12019,Clay County,0.9307,0.782
FL,12021,Collier County,0.953,0.72
FL,12023,Columbia County,0.8251,0.462
FL,12027,DeSoto County,1,0.105
FL,12029,Dixie County,0.0078,0.041
FL,12031,Duval County,1,0.802
FL,12033,Escambia County,0.9543,0.711
FL,12035,Flagler County,0.9632,0.878
FL,12037,Franklin County,0.8336,0.398
FL,12039,Gadsden County,0.9103,0.186
FL,12041,Gilchrist County,0.2821,0.049
FL,12043,Glades County,0.6469,0.063
FL,12045,Gulf County,0.9195,0.405
FL,12047,Hamilton County,0.7198,0.088
FL,12049,Hardee County,1,0.109
FL,12051,Hendry County,0.7638,0.334
FL,12053,Hernando County,0.9777,0.772
FL,12055,Highlands County,1,0.419
FL,12057,Hillsborough County,0.997,0.782
FL,12059,Holmes County,0.3422,0.095
FL,12061,Indian River County,1,0.715
FL,12063,Jackson County,0.5988,0.173
FL,12065,Jefferson County,0.3081,0.079
FL,12067,Lafayette County,0.6073,0.165
FL,12069,Lake County,0.9216,0.79
FL,12071,Lee County,0.9135,0.725
FL,12073,Leon County,0.9652,0.571
FL,12075,Levy County,0.1399,0.063
FL,12077,Liberty County,0.6755,0.137
FL,12079,Madison County,0.5728,0.114
FL,12081,Manatee County,0.9935,0.821
FL,12083,Marion County,0.9203,0.547
FL,12085,Martin County,0.9732,0.695
FL,12086,Miami-Dade County,0.9649,0.681
FL,12087,Monroe County,0.9614,0.733
FL,12089,Nassau County,0.9275,0.688
FL,12091,Okaloosa County,0.9293,0.769
FL,12093,Okeechobee County,1,0.381
FL,12095,Orange County,1,0.831
FL,12097,Osceola County,1,0.906
FL,12099,Palm Beach County,0.9694,0.718
FL,12101,Pasco County,0.9859,0.773
FL,12103,Pinellas County,0.9993,0.71
FL,12105,Polk County,0.9537,0.674
FL,12107,Putnam County,0.8297,0.341
FL,12109,St. Johns County,1,0.856
FL,12111,St. Lucie County,0.9437,0.7
FL,12113,Santa Rosa County,0.8827,0.635
FL,12115,Sarasota County,0.9889,0.776
FL,12117,Seminole County,1,0.735
FL,12119,Sumter County,0.9317,0.565
FL,12121,Suwannee County,0.8819,0.207
FL,12123,Taylor County,0.713,0.31
FL,12125,Union County,0.7205,0.451
FL,12127,Volusia County,1,0.689
FL,12129,Wakulla County,0.9233,0.387
FL,12131,Walton County,0.8154,0.627
FL,12133,Washington County,0.3113,0.129
GA,13001,Appling County,0.5103,0.19
GA,13003,Atkinson County,0.6438,0.11
GA,13005,Bacon County,0.7784,0.496
GA,13007,Baker County,0.0329,0.022
GA,13009,Baldwin County,0.962,0.612
GA,13011,Banks County,0.8324,0.249
GA,13013,Barrow County,0.9865,0.763
GA,13015,Bartow County,0.9425,0.498
GA,13017,Ben Hill County,0.9252,0.758
GA,13019,Berrien County,0.8592,0.136
GA,13021,Bibb County,0.9732,0.581
GA,13023,Bleckley County,0.5383,0.28
GA,13025,Brantley County,0.9941,0.327
GA,13027,Brooks County,0.8345,0.211
GA,13029,Bryan County,0.9513,0.806
GA,13031,Bulloch County,1,0.575
GA,13033,Burke County,0.722,0.241
GA,13035,Butts County,0.7959,0.206
GA,13037,Calhoun County,0.2488,0.072
GA,13039,Camden County,0.9246,0.674
GA,13043,Candler County,1,0.875
GA,13045,Carroll County,0.9271,0.447
GA,13047,Catoosa County,0.9899,0.485
GA,13049,Charlton County,0.726,0.085
GA,13051,Chatham County,0.9844,0.727
GA,13053,Chattahoochee County,0.5456,0.755
GA,13055,Chattooga County,0.9781,0.145
GA,13057,Cherokee County,0.974,0.841
GA,13059,Clarke County,0.9942,0.639
GA,13061,Clay County,0.6524,0.067
GA,13063,Clayton County,0.9824,0.877
GA,13065,Clinch County,0.7067,0.113
GA,13067,Cobb County,0.9796,0.778
GA,13069,Coffee County,0.9187,0.481
GA,13071,Colquitt County,0.8958,0.538
GA,13073,Columbia County,0.9832,0.853
GA,13075,Cook County,0.8466,0.16
GA,13077,Coweta County,0.959,0.743
GA,13079,Crawford County,0.9353,0.156
GA,13081,Crisp County,0.8039,0.354
GA,13083,Dade County,0.9286,0.379
GA,13085,Dawson County,0.9108,0.455
GA,13087,Decatur County,0.6635,0.288
GA,13089,DeKalb County,0.9869,0.756
GA,13091,Dodge County,0.6748,0.139
GA,13093,Dooly County,0.5515,0.084
GA,13095,Dougherty County,0.9737,0.591
GA,13097,Douglas County,0.9761,0.78
GA,13099,Early County,0.5383,0.156
GA,13101,Echols County,0.0002,0.034
GA,13103,Effingham County,0.9677,0.648
GA,13105,Elbert County,0.8497,0.267
GA,13107,Emanuel County,0.9467,0.309
GA,13109,Evans County,0.8232,0.257
GA,13111,Fannin County,0.9205,0.432
GA,13113,Fayette County,0.9807,0.882
GA,13115,Floyd County,0.9426,0.485
GA,13117,Forsyth County,0.9906,0.92
GA,13119,Franklin County,0.8482,0.148
GA,13121,Fulton County,0.9837,0.744
GA,13123,Gilmer County,0.8201,0.521
GA,13125,Glascock County,0.0101,0.033
GA,13127,Glynn County,0.9669,0.693
GA,13129,Gordon County,0.9226,0.367
GA,13131,Grady County,0.839,0.264
GA,13133,Greene County,0.7104,0.561
GA,13135,Gwinnett County,0.9903,0.935
GA,13137,Habersham County,0.9594,0.574
GA,13139,Hall County,0.9786,0.567
GA,13141,Hancock County,0.1275,0.1
GA,13143,Haralson County,1,0.135
GA,13145,Harris County,0.8671,0.244
GA,13147,Hart County,0.9703,0.414
GA,13149,Heard County,0.5978,0.117
GA,13151,Henry County,0.9954,0.891
GA,13153,Houston County,0.9397,0.749
GA,13155,Irwin County,0.6125,0.214
GA,13157,Jackson County,0.9398,0.645
GA,13159,Jasper County,0.6094,0.149
GA,13161,Jeff Davis County,0.6241,0.182
GA,13163,Jefferson County,0.0882,0.082
GA,13165,Jenkins County,0.8228,0.09
GA,13167,Johnson County,0.3034,0.149
GA,13169,Jones County,0.8682,0.445
GA,13171,Lamar County,0.726,0.118
GA,13173,Lanier County,0.8538,0.13
GA,13175,Laurens County,0.712,0.387
GA,13177,Lee County,0.8914,0.526
GA,13179,Liberty County,0.9394,0.448
GA,13181,Lincoln County,0.9999,0.287
GA,13183,Long County,0.8439,0.217
GA,13185,Lowndes County,0.8169,0.534
GA,13187,Lumpkin County,0.8909,0.425
GA,13189,McDuffie County,0.8201,0.207
GA,13191,McIntosh County,0.97,0.359
GA,13193,Macon County,0.7509,0.279
GA,13195,Madison County,0.9165,0.153
GA,13197,Marion County,0.7152,0.069
GA,13199,Meriwether County,0.5331,0.281
GA,13201,Miller County,0.1072,0.187
GA,13205,Mitchell County,0.59,0.169
GA,13207,Monroe County,0.5259,0.2
GA,13209,Montgomery County,0.501,0.119
GA,13211,Morgan County,0.467,0.176
GA,13213,Murray County,0.9859,0.427
GA,13215,Muscogee County,0.9897,0.715
GA,13217,Newton County,0.97,0.662
GA,13219,Oconee County,0.9145,0.304
GA,13221,Oglethorpe County,0.8024,0.084
GA,13223,Paulding County,0.9866,0.764
GA,13225,Peach County,0.6781,0.289
GA,13227,Pickens County,0.9341,0.532
GA,13229,Pierce County,0.8106,0.233
GA,13231,Pike County,0.4435,0.058
GA,13233,Polk County,0.9682,0.421
GA,13235,Pulaski County,0.7113,0.427
GA,13237,Putnam County,0.8868,0.35
GA,13239,Quitman County,0.6327,0.038
GA,13241,Rabun County,0.9082,0.204
GA,13243,Randolph County,0.7904,0.155
GA,13245,Richmond County,0.9595,0.609
GA,13247,Rockdale County,0.9849,0.873
GA,13249,Schley County,0.7675,0.183
GA,13251,Screven County,0.9958,0.582
GA,13253,Seminole County,0.7815,0.118
GA,13255,Spalding County,0.9541,0.573
GA,13257,Stephens County,0.9469,0.522
GA,13259,Stewart County,0.0082,0.047
GA,13261,Sumter County,0.728,0.31
GA,13263,Talbot County,0.7977,0.057
GA,13265,Taliaferro County,0.9102,0.001
GA,13267,Tattnall County,0.7786,0.169
GA,13269,Taylor County,0.8304,0.13
GA,13271,Telfair County,0.8052,0.144
GA,13273,Terrell County,0.7809,0.197
GA,13275,Thomas County,0.8826,0.411
GA,13277,Tift County,0.8697,0.714
GA,13279,Toombs County,0.7742,0.315
GA,13281,Towns County,0.9779,0.569
GA,13283,Treutlen County,0.1284,0.028
GA,13285,Troup County,0.9449,0.633
GA,13287,Turner County,0.7282,0.174
GA,13289,Twiggs County,0.4504,0.095
GA,13291,Union County,0.9608,0.463
GA,13293,Upson County,0.9401,0.759
GA,13295,Walker County,0.967,0.608
GA,13297,Walton County,0.9245,0.704
GA,13299,Ware County,0.8648,0.499
GA,13301,Warren County,0.0019,0.049
GA,13303,Washington County,0.6722,0.269
GA,13305,Wayne County,0.8181,0.347
GA,13307,Webster County,0.4611,0.119
GA,13309,Wheeler County,0.5585,0.062
GA,13311,White County,0.9401,0.481
GA,13313,Whitfield County,1,0.694
GA,13315,Wilcox County,0.6696,0.107
GA,13317,Wilkes County,1,0.321
GA,13319,Wilkinson County,0.7018,0.146
GA,13321,Worth County,0.6566,0.119
HI,15001,Hawaii County,0.9336,0.499
HI,15003,Honolulu County,0.9933,0.811
HI,15005,Kalawao County,0.1977,0.221
HI,15007,Kauai County,0.9505,0.622
HI,15009,Maui County,0.9621,0.606
ID,16001,Ada County,0.9914,0.86
ID,16003,Adams County,0.5571,0.085
ID,16005,Bannock County,0.9498,0.586
ID,16007,Bear Lake County,0.7388,0.336
ID,16009,Benewah County,0.7611,0.062
ID,16011,Bingham County,0.9846,0.229
ID,16013,Blaine County,0.9204,0.61
ID,16015,Boise County,0.6613,0.1
ID,16017,Bonner County,0.9975,0.338
ID,16019,Bonneville County,0.9799,0.754
ID,16021,Boundary County,0.9821,0.153
ID,16023,Butte County,0.645,0.184
ID,16025,Camas County,0.9747,0.017
ID,16027,Canyon County,0.999,0.534
ID,16029,Caribou County,0.8064,0.567
ID,16031,Cassia County,0.9754,0.404
ID,16033,Clark County,0.9278,0.192
ID,16035,Clearwater County,0.5075,0.107
ID,16037,Custer County,0.8106,0.183
ID,16039,Elmore County,0.77,0.346
ID,16041,Franklin County,0.9448,0.225
ID,16043,Fremont County,0.9536,0.178
ID,16045,Gem County,0.9737,0.283
ID,16047,Gooding County,0.983,0.133
ID,16049,Idaho County,0.726,0.422
ID,16051,Jefferson County,0.9304,0.255
ID,16053,Jerome County,0.9961,0.374
ID,16055,Kootenai County,0.9879,0.742
ID,16057,Latah County,0.8062,0.763
ID,16059,Lemhi County,0.5635,0.14
ID,16061,Lewis County,0.2947,0.004
ID,16063,Lincoln County,0.9076,0.133
ID,16065,Madison County,0.9905,0.77
ID,16067,Minidoka County,0.9983,0.279
ID,16069,Nez Perce County,0.8671,0.87
ID,16071,Oneida County,0.8411,0.463
ID,16073,Owyhee County,0.8013,0.197
ID,16075,Payette County,0.9515,0.537
ID,16077,Power County,0.929,0.163
ID,16079,Shoshone County,0.7137,0.085
ID,16081,Teton County,0.9137,0.49
ID,16083,Twin Falls County,0.9835,0.802
ID,16085,Valley County,0.721,0.629
ID,16087,Washington County,0.8907,0.19
IL,17001,Adams County,0.9007,0.558
IL,17003,Alexander County,0.0009,0.104
IL,17005,Bond County,1,0.173
IL,17007,Boone County,0.9712,0.436
IL,17009,Brown County,0.799,0.315
IL,17011,Bureau County,1,0.382
IL,17013,Calhoun County,0.7341,0.058
IL,17015,Carroll County,0.9169,0.248
IL,17017,Cass County,0.9333,0.214
IL,17019,Champaign County,0.9683,0.525
IL,17021,Christian County,1,0.386
IL,17023,Clark County,0.8075,0.2
IL,17025,Clay County,0.8609,0.587
IL,17027,Clinton County,0.9996,0.222
IL,17029,Coles County,0.8989,0.33
IL,17031,Cook County,0.9921,0.637
IL,17033,Crawford County,0.7916,0.233
IL,17035,Cumberland County,0.561,0.116
IL,17037,DeKalb County,0.965,0.54
IL,17039,De Witt County,0.8786,0.309
IL,17041,Douglas County,0.8263,0.428
IL,17043,DuPage County,0.993,0.883
IL,17045,Edgar County,0.9221,0.173
IL,17047,Edwards County,0.7801,0.188
IL,17049,Effingham County,0.9528,0.586
IL,17051,Fayette County,0.5575,0.198
IL,17053,Ford County,0.8982,0.349
IL,17055,Franklin County,0.9816,0.235
IL,17057,Fulton County,0.807,0.265
IL,17059,Gallatin County,0.9188,0.216
IL,17061,Greene County,0.9088,0.12
IL,17063,Grundy County,0.9998,0.547
IL,17065,Hamilton County,0.7554,0.289
IL,17067,Hancock County,0.8081,0.3
IL,17069,Hardin County,1,0.377
IL,17071,Henderson County,1,0.228
IL,17073,Henry County,1,0.442
IL,17075,Iroquois County,0.7873,0.185
